Protein_id,Gene_id,Gene_name,Protein,Chromosome,Location
AAK85855.1,Atu0031,no name,"PTS system, IIA component",AE007869.2,complement(33698-34099)
AAK85856.1,Atu0032,no name,conserved hypothetical protein,AE007869.2,complement(34225-34689)
AAK85857.1,Atu0033,chvG,two component sensor kinase,AE007869.2,complement(34679-36469)
AAK85858.2,Atu0034,chvI,two component response regulator,AE007869.2,complement(36525-37250)
AAK85859.2,Atu0035,pckA,phosphoenolpyruvate carboxykinase,AE007869.2,37589-39199
AAK85860.2,Atu0036,no name,conserved hypothetical protein,AE007869.2,39327-39761
AAK85861.2,Atu0037,panK,pantothenate kinase,AE007869.2,complement(39781-40749)
AAK85862.2,Atu0038,hisE,phosphoribosyl-ATP pyrophosphohydrolase,AE007869.2,complement(40779-41102)
AAK85863.1,Atu0039,hisF,imidazoleglycerol-phosphate synthase cyclase,AE007869.2,complement(41118-41894)
AAK85864.1,Atu0040,hisA,phosphoribosylformino-5-aminoimidazole carboxamide ribotide isomerase,AE007869.2,complement(41891-42634)
AAK85865.2,Atu0041,hisH,glutamine amidotransferase,AE007869.2,complement(42636-43286)
AAK85866.1,Atu8115,no name,Hypothetical Protein,AE007869.2,complement(43288-43782)
AAK85867.2,Atu0043,hisB,imidazoleglycerol-phosphate dehydratase,AE007869.2,complement(43805-44401)
AAK85868.2,Atu0044,hslV,heat shock protein hslV,AE007869.2,44644-45126
AAK85869.1,Atu0045,hslU,heat shock chaperone,AE007869.2,45214-46521
AAK85870.1,Atu0046,no name,conserved hypothetical protein,AE007869.2,46716-47681
AAK85871.1,Atu0047,glcB,malate synthase G,AE007869.2,47736-49970
AAK85872.2,Atu0048,no name,conserved hypothetical protein,AE007869.2,complement(50151-50864)
AAK85873.2,Atu0049,no name,conserved hypothetical protein,AE007869.2,51048-51533
AAK85874.1,Atu0050,actR,two component response regulator,AE007869.2,complement(51594-52181)
AAK85875.2,Atu0051,actS,two component sensor kinase,AE007869.2,complement(52255-53562)
AAK85876.2,Atu0052,hrpB,helicase,AE007869.2,complement(53592-56078)
AAL41084.1,Atu0056,no name,hypothetical protein,AE007869.2,complement(59238-59627)
AAL41085.1,Atu0058,no name,hypothetical protein,AE007869.2,62235-62492
AAK85881.1,Atu0061,recQ,ATP-dependent DNA helicase,AE007869.2,63196-65004
AAK85882.1,Atu0062,frcR,"transcriptional regulator, ROK family",AE007869.2,complement(65054-66286)
AAK85883.1,Atu0063,frcB,"ABC transporter, substrate binding protein (sugar)",AE007869.2,66551-67573
AAK85884.2,Atu0064,frcC,"ABC transporter, membrane spanning protein (sugar)",AE007869.2,67798-68880
AAK85885.1,Atu0065,frcA,"ABC transporter, nucleotide binding/ATPase protein (sugar)",AE007869.2,68880-69662
AAK85886.1,Atu0066,no name,putative kinase,AE007869.2,69659-70288
AAK85887.2,Atu0068,nrdH,glutaredoxin protein,AE007869.2,70953-71174
AAK85888.1,Atu0069,nrdI,NrdI protein involved in ribonucleotide reduction,AE007869.2,71188-71586
AAK85889.2,Atu0070,nrdE,ribonucleoside-diphosphate reductase 2 alpha chain,AE007869.2,71679-73760
AAK85890.2,Atu0071,nrdF,ribonucleoside-diphosphate reductase 2 beta chain,AE007869.2,73777-74751
AAK85891.1,Atu0072,no name,conserved hypothetical protein,AE007869.2,complement(74781-76016)
AAK85892.2,Atu0073,no name,recF-like protein,AE007869.2,76045-77172
AAK85893.2,Atu0074,moeB,molybdopterin biosynthesis protein,AE007869.2,77195-77956
AAK85894.1,Atu0075,no name,conserved hypothetical protein,AE007869.2,77960-78436
AAK85895.1,Atu0076,no name,hypothetical protein,AE007869.2,complement(78443-79132)
AAK85896.1,Atu0077,no name,D-isomer specific 2-hydroxyacid dehydrogenases family protein,AE007869.2,complement(79181-80185)
AAK85898.2,Atu0078,no name,conserved hypothetical protein,AE007869.2,80360-80899
AAK85899.1,Atu0079,no name,Atu0079-1 mutant of pfkB family carbohydrate kinase,AE007869.2,complement(80892-81884)
AAK85901.1,Atu0080,no name,permease,AE007869.2,82362-83306
AAK85902.2,Atu0081,rsmC,ribosomal RNA small subunit methyltransferase,AE007869.2,complement(83313-84329)
AAK85903.1,Atu0082,pnpA,polyribonucleotide nucleotidyltransferase,AE007869.2,complement(84465-86606)
AAK85904.1,Atu0084,rpsO,30S ribosomal protein S15,AE007869.2,complement(86872-87141)
AAK85905.1,Atu0085,truB,tRNA pseudouridine 55 synthase,AE007869.2,complement(87307-88254)
AAK85906.1,Atu0086,rbfA,ribosome-binding factor A,AE007869.2,complement(88258-88674)
AAK85907.1,Atu0087,infB,translation initiation factor IF-2,AE007869.2,complement(88750-91491)
AAK85908.1,Atu0088,no name,conserved hypothetical protein,AE007869.2,complement(91594-92295)
AAK85909.1,Atu0089,nusA,N-utilization substance protein A,AE007869.2,complement(92292-93908)
AAK85910.1,Atu0090,no name,conserved hypothetical protein,AE007869.2,complement(93972-94568)
AAK85911.2,Atu0091,no name,MFS permease,AE007869.2,94974-96485
AAK85912.1,Atu0092,mltB,lytic murein transglycosylase,AE007869.2,complement(96508-97773)
AAK85913.1,Atu0093,recR,Recombination protein,AE007869.2,complement(97808-98413)
AAK85914.2,Atu0094,no name,conserved hypothetical protein,AE007869.2,98472-99086
AAK85915.1,Atu0095,no name,conserved hypothetical protein,AE007869.2,complement(99146-99469)
AAK85916.1,Atu0096,no name,"DNA polymerase III, tau subunit",AE007869.2,complement(99494-101368)
AAK85917.2,Atu0097,no name,conserved hypothetical protein,AE007869.2,101634-102038
AAK85918.1,Atu0098,no name,mutT/nudix family protein,AE007869.2,102038-103000
AAK85919.1,Atu0099,pheA,prephenate dehydratase,AE007869.2,complement(103016-103879)
AAK85920.1,Atu0100,kdsB,3-deoxy-manno-octulosonate cytidylyltransferase,AE007869.2,complement(103891-104646)
AAK85921.1,Atu0101,cycM,cytochrome c,AE007869.2,104797-105375
AAK85922.2,Atu0102,no name,exopolysaccharide production protein,AE007869.2,complement(105470-106195)
AAK85923.1,Atu0103,pbpC,penicillin-binding protein,AE007869.2,complement(106484-108778)
AAK85924.1,Atu0104,no name,conserved hypothetical protein,AE007869.2,complement(108895-109353)
AAL41130.1,Atu0105,no name,hypothetical protein,AE007869.2,complement(109363-109557)
AAK85925.2,Atu0106,cspA,cold shock protein,AE007869.2,109823-110032
AAK85926.2,Atu0107,no name,hypothetical protein,AE007869.2,110062-110223
AAK85928.2,Atu0108,no name,putative metalloprotease M20 family,AE007869.2,complement(110444-111835)
AAK85929.2,Atu0109,no name,"transcriptional regulator, MarR family",AE007869.2,complement(112000-112446)
AAK85930.1,Atu8081,no name,hypothetical protein,AE007869.2,complement(112724-113134)
AAK85931.2,Atu0110,polA,DNA polymerase I,AE007869.2,113226-116222
AAK85932.1,Atu0111,no name,conserved hypothetical protein,AE007869.2,116299-117018
AAK85933.2,Atu0112,rpmF,50S ribosomal protein L32,AE007869.2,117212-117397
AAK85934.2,Atu0113,no name,two component sensor kinase,AE007869.2,117518-119386
AAK85935.2,Atu0114,dctD,two component response regulator,AE007869.2,119383-120729
AAL41140.1,Atu0115,no name,hypothetical protein,AE007869.2,120729-120932
AAK85936.2,Atu0116,no name,conserved hypothetical protein,AE007869.2,121502-121912
AAK85937.1,Atu0117,no name,conserved hypothetical protein,AE007869.2,122012-122473
AAK85938.1,Atu0118,no name,conserved hypothetical protein,AE007869.2,122483-123988
AAK85939.2,Atu0119,no name,conserved hypothetical protein,AE007869.2,124135-124347
AAK85940.1,Atu0120,no name,conserved hypothetical protein,AE007869.2,124361-124912
AAK85941.1,Atu0121,dnaJ,"molecular chaperone, DnaJ family",AE007869.2,complement(124981-126114)
AAK85942.1,Atu0122,dnaK,DNAK Protein,AE007869.2,complement(126205-128106)
AAK85944.2,Atu0124,no name,hypothetical protein,AE007869.2,128724-129041
AAK85945.2,Atu0125,msrA,peptide methionine sulfoxide reductase,AE007869.2,129114-129764
AAK85947.2,Atu0126,no name,membrane lipoprotein,AE007869.2,129978-130970
AAK85948.2,Atu0127,no name,"ABC transporter, nucleotide binding/ATPase protein (sugar/ribonucleotide)",AE007869.2,131053-132558
AAK85949.1,Atu0128,no name,"ABC transporter, membrane spanning protein (sugar/ribonucleotide)",AE007869.2,132566-133669
AAK85950.1,Atu0129,no name,"ABC transporter, membrane spanning protein (sugar/ribonucleotide)",AE007869.2,133676-134647
AAK85951.2,Atu0130,cdd,cytidine deaminase,AE007869.2,134652-135056
AAK85952.1,Atu0131,deoD,purine nucleoside phosphorylase,AE007869.2,135056-135856
AAK85953.2,Atu0132,deoC,2-deoxyribose-5-phosphate aldolase,AE007869.2,135859-136632
AAK85954.1,Atu0133,deoA,thymidine phosphorylase,AE007869.2,136629-137945
AAK85955.2,Atu0134,no name,conserved hypothetical protein,AE007869.2,complement(137938-138474)
AAK85956.1,Atu0135,upp,uracil phosphoribosyltransferase,AE007869.2,complement(138594-139223)
AAK85957.1,Atu0136,add,adenosine deaminase,AE007869.2,complement(139319-140296)
AAK85958.1,Atu0137,drm,phosphopentomutase,AE007869.2,complement(140293-141513)
AAK85959.2,Atu0138,surf,surfeit 1,AE007869.2,complement(141629-142459)
AAK85960.2,Atu0139,cyoD,cytochrome o ubiquinol oxidase subunit IV,AE007869.2,complement(142569-142961)
AAK85961.1,Atu0140,cyoC,cytochrome o ubiquinol oxidase subunit III,AE007869.2,complement(142961-143587)
AAK85962.1,Atu0141,cyoB,cytochrome O ubiquinol oxidase subunit I,AE007869.2,complement(143594-145597)
AAK85963.2,Atu0142,cyoA,cytochrome o ubiquinol oxidase subunit II,AE007869.2,complement(145674-146672)
AAK85964.1,Atu0143,no name,MFS permease,AE007869.2,147053-148375
AAL41168.1,Atu0144,no name,hypothetical protein,AE007869.2,148441-148662
AAK85965.2,Atu0145,gltB,glutamate synthase large subunit,AE007869.2,148937-154285
AAK85966.1,Atu0146,cysJ,sulfite reductase (NADPH) flavoprotein alpha-component,AE007869.2,154282-156051
AAK85967.2,Atu0147,no name,conserved hypothetical protein,AE007869.2,complement(156090-156596)
AAK85968.2,Atu0148,no name,Atu0148-1 mutant of a conserved hypothetical protein,AE007869.2,complement(156680-157276)
AAK85969.2,Atu0149,fabI,enoyl-(acyl-carrier-protein) reductase,AE007869.2,complement(157461-158267)
AAK85970.2,Atu0150,fabB,3-oxoacyl-(acyl-carrier-protein) synthase,AE007869.2,complement(158274-159497)
AAK85972.2,Atu0151,fabA,D-3-hydroxydecanoyl-(acyl carrier-protein) dehydratase,AE007869.2,complement(159573-160088)
AAK85973.2,Atu0152,no name,hypothetical protein,AE007869.2,160159-160416
AAK85974.2,Atu0153,irr,"transcriptional regulator, Fur family",AE007869.2,160406-160825
AAK85975.2,Atu0154,no name,conserved hypothetical protein,AE007869.2,complement(160901-161539)
AAK85976.1,Atu8116,no name,hypothetical protein,AE007869.2,161618-162136
AAK85977.2,Atu0156,no name,conserved hypothetical protein,AE007869.2,complement(162149-162859)
AAK85978.1,Atu0157,no name,"ABC transporter, substrate binding protein",AE007869.2,163006-164007
AAK85979.1,Atu0158,no name,"ABC transporter, membrane spanning protein",AE007869.2,164146-164919
AAK85980.2,Atu0159,no name,"ABC transporter, nucleotide binding/ATPase protein",AE007869.2,164919-165704
AAK85981.1,Atu0160,hutC,"transcriptional regulator, GntR family",AE007869.2,165739-166476
AAK85982.1,Atu0161,exbB,biopolymer transport protein,AE007869.2,166742-167764
AAK85983.1,Atu0162,exbD,biopolymer transport protein,AE007869.2,167771-168274
AAK85984.1,Atu0163,tonB,tonB protein,AE007869.2,168271-169194
AAK85985.2,Atu0164,no name,putative malate dehydrogenase,AE007869.2,169337-170326
AAL41189.1,Atu0165,no name,hypothetical protein,AE007869.2,complement(170547-170792)
AAL41190.1,Atu0166,no name,hypothetical protein,AE007869.2,complement(170930-171184)
AAK85986.1,Atu0167,no name,"transcriptional regulator, AraC family",AE007869.2,complement(171256-172296)
AAK85987.2,Atu0168,gmk,guanylate kinase,AE007869.2,complement(172384-172935)
AAK85988.1,Atu0169,phnM,conserved hypothetical protein,AE007869.2,complement(172980-174116)
AAK85989.2,Atu0170,no name,conserved hypothetical protein,AE007869.2,complement(174113-174802)
AAK85991.1,Atu0171,phnE,"ABC transporter, membrane spanning protein (phosphonate)",AE007869.2,complement(175086-176435)
AAK85992.2,Atu0172,phnE,"ABC transporter, membrane spanning protein (phosphonate)",AE007869.2,complement(176435-177421)
AAK85993.1,Atu0173,phnD,"ABC transporter, substrate binding protein (phosphonate)",AE007869.2,complement(177492-178397)
AAK85994.2,Atu0174,phnC,"ABC transporter, nucleotide binding/ATPase protein (phosphonate)",AE007869.2,complement(178483-179343)
AAK85995.1,Atu0175,no name,acetyltransferase,AE007869.2,complement(179560-180177)
AAK85996.2,Atu0176,phnL,"ABC transporter, nucleotide binding/ATPase protein (phosphonate)",AE007869.2,complement(180174-180881)
AAK85997.2,Atu0177,phnK,"ABC transporter, nucleotide binding/ATPase protein (phosphonate)",AE007869.2,complement(180949-181725)
AAK85998.1,Atu0178,phnJ,conserved hypothetical protein,AE007869.2,complement(181722-182624)
AAK85999.1,Atu0179,phnI,conserved hypothetical protein,AE007869.2,complement(182758-183867)
AAK86000.1,Atu0180,phnH,conserved hypothetical protein,AE007869.2,complement(183869-184480)
AAK86001.1,Atu0181,phnG,conserved hypothetical protein,AE007869.2,complement(184477-184938)
AAK86002.1,Atu0182,no name,"transcriptional regulator, GntR family",AE007869.2,185021-185758
AAK86003.2,Atu0183,dapB,dihydrodipicolinate reductase,AE007869.2,complement(185768-186595)
AAK86004.2,Atu0184,glk,glucokinase,AE007869.2,complement(186737-187759)
AAK86005.1,Atu0185,mgsA,methylglyoxal synthase,AE007869.2,complement(187787-188170)
AAK86006.1,Atu0186,mepA,penicillin-insensitive murein endopeptidase,AE007869.2,complement(188270-189325)
AAK86007.1,Atu0187,no name,"ABC transporter, substrate binding protein (peptide)",AE007869.2,189528-191372
AAK86008.1,Atu0188,no name,"ABC transporter, membrane spanning protein (peptide)",AE007869.2,191514-192608
AAK86009.2,Atu0189,no name,"ABC transporter, membrane spanning protein (peptide)",AE007869.2,192608-193753
AAK86010.2,Atu0190,no name,"ABC transporter, nucleotide binding/ATPase protein (peptide)",AE007869.2,193759-195399
AAK86012.1,Atu0193,glnA,glutamine synthetase,AE007869.2,196923-198281
AAK86013.1,Atu0194,ordL,oxidoreductase,AE007869.2,198256-199584
AAK86014.1,Atu0195,gntK,gluconokinase,AE007869.2,complement(199684-200175)
AAK86015.2,Atu0196,no name,"ABC transporter, membrane spanning protein (proline/glycine/betaine)",AE007869.2,complement(200281-201021)
AAK86016.1,Atu0197,no name,"ABC transporter, nucleotide binding/ATPase protein (proline/glycine/betaine)",AE007869.2,complement(201018-201956)
AAK86017.2,Atu0198,no name,"ABC transporter, membrane spanning protein (proline/glycine/betaine)",AE007869.2,complement(201953-203098)
AAK86018.1,Atu0199,no name,"ABC transporter, substrate binding protein (proline/glycine/betaine)",AE007869.2,complement(203203-204114)
AAK86019.2,Atu0200,no name,conserved hypothetical protein,AE007869.2,complement(204265-205311)
AAK86020.1,Atu0201,aau3,conserved hypothetical protein,AE007869.2,complement(205480-205950)
AAK86021.2,Atu0202,no name,"ABC transporter, substrate binding protein (iron)",AE007869.2,206109-207173
AAK86022.2,Atu0203,no name,conserved hypothetical protein,AE007869.2,complement(207198-208115)
AAK86023.1,Atu0204,no name,conserved hypothetical protein,AE007869.2,complement(208258-209361)
AAK86024.1,Atu0205,mmsA,methylmalonate-semialdehyde dehydrogenase,AE007869.2,complement(209585-211141)
AAL41229.1,Atu0206,no name,conserved hypothetical protein,AE007869.2,211253-211570
AAK86025.1,Atu0207,no name,"transcriptional regulator, LysR family",AE007869.2,211567-212448
AAK86026.2,Atu0208,no name,conserved hypothetical protein,AE007869.2,212655-213491
AAK86027.1,Atu0209,no name,conserved hypothetical protein,AE007869.2,213782-214888
AAK86028.2,Atu0210,no name,conserved hypothetical protein,AE007869.2,215253-215597
AAK86029.1,Atu0211,no name,conserved hypothetical protein,AE007869.2,215616-216467
AAK86030.2,Atu0212,no name,hypothetical protein,AE007869.2,216563-216922
AAK86031.2,Atu0213,pncB,nicotinate phosphoribosyltransferase,AE007869.2,217114-218418
AAK86032.1,Atu0214,no name,leucine aminopeptidase,AE007869.2,complement(218477-219871)
AAK86033.2,Atu0215,no name,conserved hypothetical protein,AE007869.2,220014-220838
AAK86034.1,Atu0216,ctpI,components of type IV pilus,AE007869.2,complement(220902-221888)
AAK86035.1,Atu0217,ctpH,components of type IV pilus,AE007869.2,complement(221898-222902)
AAK86036.2,Atu0218,ctpG,component of type IV pilus,AE007869.2,complement(222917-224392)
AAK86037.2,Atu0219,ctpF,components of type IV pilus,AE007869.2,complement(224426-225709)
AAK86038.2,Atu0220,ctpE,components of type IV pilus,AE007869.2,complement(225744-226325)
AAK86039.1,Atu0221,ctpD,component of type IV pilus,AE007869.2,complement(226493-228076)
AAK86040.1,Atu0222,ctpC,components of type IV pilus,AE007869.2,complement(228073-228879)
AAK86041.1,Atu0223,ctpB,"components of type IV pilus, prepilin peptidase",AE007869.2,complement(229013-229525)
AAK86042.2,Atu0224,ctpA,"components of type IV pilus, pilin subunit",AE007869.2,complement(229627-229818)
AAL41248.1,Atu0225,no name,hypothetical protein,AE007869.2,complement(229889-230143)
AAK86043.2,Atu0226,no name,PilQ,AE007869.2,230262-230645
AAK86045.1,Atu0228,no name,conserved hypothetical protein,AE007869.2,complement(231038-231343)
AAK86046.2,Atu0229,no name,conserved hypothetical protein,AE007869.2,231481-231930
AAL41252.2,Atu0230,no name,hypothetical protein,AE007869.2,complement(231934-232092)
AAK86047.2,Atu0231,guaA,GMP synthase,AE007869.2,232091-232765
AAK86048.1,Atu0232,no name,conserved hypothetical protein,AE007869.2,232853-233041
AAK86049.2,Atu0233,no name,lysozyme,AE007869.2,233224-234321
AAK86050.1,Atu0234,no name,"conserved hypothetical protein, membrane protein",AE007869.2,complement(234325-235200)
AAK86051.2,Atu0235,no name,"transcriptional regulator, GntR family",AE007869.2,235332-236705
AAK86052.1,Atu0236,no name,conserved hypothetical protein,AE007869.2,236801-237118
AAK86053.1,Atu0237,no name,conserved hypothetical protein,AE007869.2,complement(237190-237648)
AAK86054.1,Atu0238,no name,oxidoreductase,AE007869.2,237803-238696
AAK86055.2,Atu0239,no name,"transcriptional regulator, AraC family",AE007869.2,complement(238693-239589)
AAK86056.1,Atu0240,no name,conserved hypothetical protein,AE007869.2,239564-239971
AAK86057.1,Atu0241,lepA,GTP-binding protein LepA,AE007869.2,complement(240039-241865)
AAK86058.1,Atu0242,no name,carbon-nitrogen hydrolase,AE007869.2,complement(241938-242807)
AAK86059.2,Atu0243,no name,conserved hypothetical protein,AE007869.2,complement(242804-243415)
AAK86060.1,Atu8117,no name,conserved hypothetical protein,AE007869.2,243482-243883
AAK86061.2,Atu0245,no name,transcriptional regulator,AE007869.2,243980-244561
AAK86062.1,Atu0246,no name,acetyltransferase,AE007869.2,244579-245097
AAK86063.2,Atu0247,no name,conserved hypothetical protein,AE007869.2,complement(245112-246185)
AAK86064.1,Atu0248,no name,"transcriptional regulator, AraC family",AE007869.2,246323-247420
AAK86065.1,Atu0249,no name,"ABC transporter, substrate binding protein (sugar)",AE007869.2,complement(247424-248527)
AAK86066.2,Atu0250,no name,conserved hypothetical protein,AE007869.2,complement(248655-249062)
AAK86067.1,Atu0251,no name,conserved hypothetical protein,AE007869.2,249269-250252
AAK86068.2,Atu0252,no name,conserved hypothetical protein,AE007869.2,complement(250317-250832)
AAK86069.2,Atu0253,no name,conserved hypothetical protein,AE007869.2,complement(251051-251839)
AAK86070.1,Atu0254,infC,translation initiation factor 3,AE007869.2,252141-252563
AAK86071.1,Atu0255,rpmI,50S ribosomal protein L35,AE007869.2,252753-252956
AAK86072.1,Atu0256,rplT,50S ribosomal protein L20,AE007869.2,252997-253401
AAK86073.2,Atu0257,no name,conserved hypothetical protein,AE007869.2,253566-254444
AAK86074.2,Atu0258,pheS,"phenylalanyl-tRNA synthetase, alpha-subunit",AE007869.2,254470-255519
AAK86075.1,Atu0259,pheT,phenylalanyl-tRNA synthetase beta chain,AE007869.2,255544-257967
AAK86076.2,Atu0260,no name,aldo-keto reductase,AE007869.2,complement(258027-259028)
AAK86077.1,Atu0261,no name,"transcriptional regulator, LysR family",AE007869.2,259145-260035
AAK86078.1,Atu0262,no name,acetyltransferase,AE007869.2,complement(260036-260479)
AAK86079.2,Atu0263,no name,oxidoreductase,AE007869.2,complement(260481-261431)
AAK86080.1,Atu0264,no name,"transcriptional regulator, AraC family",AE007869.2,complement(261540-262523)
AAK86081.2,Atu0265,no name,hydrolase,AE007869.2,complement(262523-263083)
AAK86082.2,Atu0266,no name,oxidoreductase,AE007869.2,263264-264247
AAK86083.1,Atu0267,no name,hypothetical protein,AE007869.2,complement(264244-264597)
AAK86084.1,Atu0268,no name,hypothetical protein,AE007869.2,complement(264609-264851)
AAK86085.2,Atu0269,xseA,exodeoxyribonuclease VII large subunit,AE007869.2,265041-266639
AAK86086.2,Atu0270,no name,mandelate racemase / muconate lactonizing enzyme family protein,AE007869.2,complement(266640-267842)
AAK86087.1,Atu0271,no name,"transcriptional regulator, GntR family",AE007869.2,complement(267893-268600)
AAK86088.2,Atu0272,pecS,"transcriptional regulator, MarR family",AE007869.2,complement(268711-269196)
AAK86089.1,Atu0273,pecM,regulator protein pecM,AE007869.2,269293-270156
AAK86090.1,Atu0274,ampS,aminopeptidase,AE007869.2,complement(270165-271403)
AAK86091.1,Atu0275,no name,conserved hypothetical protein,AE007869.2,complement(271492-271968)
AAK86092.1,Atu0276,no name,conserved hypothetical protein,AE007869.2,complement(271981-272328)
AAL41299.2,Atu0277,no name,hypothetical protein,AE007869.2,272422-272817
AAK86093.1,Atu0278,no name,conserved hypothetical protein,AE007869.2,complement(272904-273791)
AAK86094.1,Atu0279,no name,"transcriptional regulator, TetR family",AE007869.2,273790-274368
AAK86095.1,Atu0280,no name,hypothetical protein,AE007869.2,274510-274998
AAK86096.1,Atu0281,guaA,GMP synthase,AE007869.2,complement(275073-276650)
AAK86097.1,Atu0282,pfs,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,AE007869.2,complement(276734-277372)
AAK86098.1,Atu0283,no name,conserved hypothetical protein,AE007869.2,complement(277369-277818)
AAK86099.1,Atu0284,tspO,tryptophan-rich sensory protein,AE007869.2,complement(277897-278349)
AAK86100.1,Atu0285,no name,conserved hypothetical protein,AE007869.2,complement(278400-279494)
AAK86101.1,Atu0286,no name,conserved hypothetical protein,AE007869.2,complement(279498-280619)
AAK86102.1,Atu0287,no name,conserved hypothetical protein,AE007869.2,complement(280619-282160)
AAK86103.2,Atu0288,no name,conserved hypothetical protein,AE007869.2,complement(282202-283479)
AAK86104.1,Atu0289,sun,Sun protein,AE007869.2,complement(283635-284924)
AAK86105.1,Atu0290,no name,rare lipoprotein A,AE007869.2,complement(284986-285354)
AAK86106.1,Atu0291,no name,conserved hypothetical protein,AE007869.2,complement(285781-286653)
AAK86107.1,Atu0292,no name,iron-sulfur cluster binding protein,AE007869.2,complement(286657-287637)
AAK86108.1,Atu0293,no name,glutathione S-transferase,AE007869.2,complement(287938-288630)
AAK86109.1,Atu0294,bacA,"undecaprenyl pyrophosphate phosphatase, possible bacitracin resistance protein",AE007869.2,288790-289596
AAL41317.1,Atu0295,no name,hypothetical protein,AE007869.2,289836-290066
AAK86111.2,Atu0296,no name,NADH-ubiquinone oxidoreductase,AE007869.2,complement(290155-291135)
AAK86112.1,Atu0297,no name,conserved hypothetical protein,AE007869.2,complement(291257-291544)
AAK86113.2,Atu0298,pyrF,orotidine 5,AE007869.2,complement(291565-292272)
AAK86114.1,Atu0299,no name,conserved hypothetical protein,AE007869.2,complement(292277-292873)
AAK86115.1,Atu0300,no name,methyltransferase,AE007869.2,complement(292970-293563)
AAK86116.2,Atu0301,dnaN,"DNA polymerase III, beta chain",AE007869.2,complement(293757-294875)
AAK86117.2,Atu0302,no name,tetrapyrrole methylase family protein,AE007869.2,295140-296081
AAK86118.1,Atu0303,no name,conserved hypothetical protein,AE007869.2,296071-296439
AAK86119.1,Atu0304,nodL,nodulation protein L,AE007869.2,296456-297016
AAK86120.1,Atu0305,ugpA,"ABC transporter, substrate binding protein (sn-glycerol 3-phosphate)",AE007869.2,297125-298423
AAK86122.1,Atu0306,ugpA,"ABC transporter, membrane spanning protein (sn-Glycerol-3-phosphate)",AE007869.2,298594-299475
AAK86123.2,Atu0307,ugpE,"ABC transporter, membrane spanning protein (sn-Glycerol-3-phosphate)",AE007869.2,299487-300329
AAK86124.1,Atu0308,ugpC,"ABC transporter, nucleotide binding/ATPase protein (sn-Glycerol-3-phosphate)",AE007869.2,300340-301440
AAK86125.1,Atu0309,no name,conserved hypothetical protein,AE007869.2,301550-302062
AAK86126.2,Atu0310,gshB,glutathione synthetase,AE007869.2,302305-303264
